Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
20 to 49 Unit	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	35	960	6.69E-06
3 or 4 Unit	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	36	850	5.92E-06
5 to 9 Unit	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	1142	7.96E-06
50 or more Unit	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	1154	8.04E-06
Mobile Home	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	2422	1.69E-05
Single-Family Attached	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	97	2203	1.53E-05
Single-Family Detached	"WA, 11704"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1839	37498	0.000261235
10 to 19 Unit	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	36	816	5.94E-06
2 Unit	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	43	1018	7.41E-06
20 to 49 Unit	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	28	495	3.60E-06
3 or 4 Unit	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	68	1342	9.76E-06
5 to 9 Unit	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	1098	7.99E-06
50 or more Unit	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	16	268	1.95E-06
Mobile Home	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	217	3830	2.79E-05
Single-Family Attached	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	113	1927	1.40E-05
Single-Family Detached	"WA, 11705"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2361	40162	0.000292209
10 to 19 Unit	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	1128	8.15E-06
2 Unit	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	58	1531	1.11E-05
20 to 49 Unit	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	50	1398	1.01E-05
3 or 4 Unit	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	44	955	6.90E-06
5 to 9 Unit	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	1000	7.22E-06
50 or more Unit	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1841	1.33E-05
Mobile Home	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	302	5050	3.65E-05
Single-Family Attached	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	91	1754	1.27E-05
Single-Family Detached	"WA, 11706"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2245	42880	0.000309643
10 to 19 Unit	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	75	2598	1.89E-05
2 Unit	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	26	465	3.38E-06
20 to 49 Unit	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	54	1612	1.17E-05
3 or 4 Unit	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	1280	9.29E-06
5 to 9 Unit	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1355	9.84E-06
50 or more Unit	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	61	1384	1.00E-05
Mobile Home	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	355	3849	2.79E-05
Single-Family Attached	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	132	2314	1.68E-05
Single-Family Detached	"WA, 11801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2831	40200	0.000291878
10 to 19 Unit	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	1933	1.41E-05
2 Unit	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1465	1.07E-05
20 to 49 Unit	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	59	1633	1.19E-05
3 or 4 Unit	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	97	2120	1.54E-05
5 to 9 Unit	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	100	2348	1.71E-05
50 or more Unit	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	109	2221	1.62E-05
Mobile Home	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	172	3995	2.91E-05
Single-Family Attached	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	125	2762	2.01E-05
Single-Family Detached	"WA, 11802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1863	39175	0.000285461
10 to 19 Unit	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	1098	7.96E-06
2 Unit	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1024	7.43E-06
20 to 49 Unit	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	1246	9.04E-06
3 or 4 Unit	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	44	731	5.30E-06
5 to 9 Unit	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	823	5.97E-06
50 or more Unit	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	766	5.56E-06
Mobile Home	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	432	7395	5.36E-05
Single-Family Attached	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	73	1256	9.11E-06
Single-Family Detached	"WA, 11900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2262	41389	0.000300211
10 to 19 Unit	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	101	2050	1.52E-05
2 Unit	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	181	3148	2.34E-05
20 to 49 Unit	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	1284	9.53E-06
3 or 4 Unit	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	130	2655	1.97E-05
5 to 9 Unit	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	93	2023	1.50E-05
50 or more Unit	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	27	763	5.66E-06
Mobile Home	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	932	9646	7.16E-05
Single-Family Attached	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	120	1477	1.10E-05
Single-Family Detached	"WI, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	10201	105275	0.00078117
10 to 19 Unit	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	90	3676	2.63E-05
2 Unit	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	84	3185	2.28E-05
20 to 49 Unit	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	202	7552	5.41E-05
3 or 4 Unit	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	140	5735	4.11E-05
5 to 9 Unit	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	117	4299	3.08E-05
50 or more Unit	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	255	10500	7.52E-05
Mobile Home	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	706	5.06E-06
Single-Family Attached	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	30	895	6.41E-06
Single-Family Detached	"WI, 00101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	691	20084	0.000143873
10 to 19 Unit	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	3988	2.88E-05
2 Unit	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	70	2431	1.76E-05
20 to 49 Unit	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	133	6169	4.45E-05
3 or 4 Unit	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	89	3493	2.52E-05
5 to 9 Unit	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	94	3780	2.73E-05
50 or more Unit	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	85	3580	2.58E-05
Mobile Home	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	893	6.45E-06
Single-Family Attached	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	193	6527	4.71E-05
Single-Family Detached	"WI, 00102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2110	51778	0.000373801
10 to 19 Unit	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	162	7541	5.40E-05
2 Unit	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	61	2543	1.82E-05
20 to 49 Unit	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	237	11152	7.98E-05
3 or 4 Unit	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	97	4492	3.21E-05
5 to 9 Unit	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	114	4892	3.50E-05
50 or more Unit	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	150	5760	4.12E-05
Mobile Home	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	426	3.05E-06
Single-Family Attached	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	173	6444	4.61E-05
Single-Family Detached	"WI, 00103"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2130	50403	0.000360724
10 to 19 Unit	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	1762	1.34E-05
2 Unit	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	113	3621	2.76E-05
20 to 49 Unit	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	49	2007	1.53E-05
3 or 4 Unit	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	61	2343	1.79E-05
5 to 9 Unit	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	97	4236	3.23E-05
50 or more Unit	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1907	1.46E-05
Mobile Home	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	6148	356	2.72E-06
Single-Family Attached	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	1990	1.52E-05
Single-Family Detached	"WI, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	838	26732	0.00020397
10 to 19 Unit	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	76	3801	2.71E-05
2 Unit	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	59	2677	1.91E-05
20 to 49 Unit	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	26	967	6.90E-06
3 or 4 Unit	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	1222	8.72E-06
5 to 9 Unit	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	114	5487	3.92E-05
50 or more Unit	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	1768	1.26E-05
Mobile Home	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	1385	9.89E-06
Single-Family Attached	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	100	4086	2.92E-05
Single-Family Detached	"WI, 00300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1557	43298	0.000309141
10 to 19 Unit	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	1686	1.24E-05
2 Unit	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	2197	1.62E-05
20 to 49 Unit	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	40	1141	8.42E-06
3 or 4 Unit	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	41	935	6.90E-06
5 to 9 Unit	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	68	1998	1.47E-05
50 or more Unit	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	12	352	2.60E-06
Mobile Home	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	433	6212	4.58E-05
Single-Family Attached	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	58	866	6.39E-06
Single-Family Detached	"WI, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	5692	80484	0.000593695
10 to 19 Unit	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	2136	1.57E-05
2 Unit	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	176	3231	2.38E-05
20 to 49 Unit	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	63	1930	1.42E-05
3 or 4 Unit	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	113	2085	1.54E-05
5 to 9 Unit	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	145	2774	2.04E-05
50 or more Unit	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	12	442	3.26E-06
Mobile Home	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	702	7759	5.72E-05
Single-Family Attached	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	122	2512	1.85E-05
Single-Family Detached	"WI, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	7296	70241	0.000517414
10 to 19 Unit	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	74	1561	1.16E-05
2 Unit	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	160	3070	2.28E-05
20 to 49 Unit	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	827	6.14E-06
3 or 4 Unit	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	84	1754	1.30E-05
5 to 9 Unit	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	107	2126	1.58E-05
50 or more Unit	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2647	181	1.34E-06
Mobile Home	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	314	2957	2.19E-05
Single-Family Attached	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	93	1242	9.21E-06
Single-Family Detached	"WI, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	5556	51559	0.000382498
10 to 19 Unit	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	2035	1.50E-05
2 Unit	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	2014	1.48E-05
20 to 49 Unit	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	2515	1.85E-05
3 or 4 Unit	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	2402	1.77E-05
5 to 9 Unit	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	2185	1.61E-05
50 or more Unit	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	68	2432	1.79E-05
Mobile Home	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	2147	1.58E-05
Single-Family Attached	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	95	3132	2.30E-05
Single-Family Detached	"WI, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1288	31442	0.000231064
10 to 19 Unit	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	61	1658	1.22E-05
2 Unit	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	96	2823	2.08E-05
20 to 49 Unit	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	44	1334	9.83E-06
3 or 4 Unit	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	88	2535	1.87E-05
5 to 9 Unit	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	75	2341	1.73E-05
50 or more Unit	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	1249	9.20E-06
Mobile Home	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	153	2531	1.87E-05
Single-Family Attached	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	1590	1.17E-05
Single-Family Detached	"WI, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3171	41104	0.000302912
10 to 19 Unit	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	87	3346	2.48E-05
2 Unit	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	161	3825	2.83E-05
20 to 49 Unit	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	50	2037	1.51E-05
3 or 4 Unit	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	83	2143	1.59E-05
5 to 9 Unit	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	127	4031	2.98E-05
50 or more Unit	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	27	932	6.90E-06
Mobile Home	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	182	2928	2.17E-05
Single-Family Attached	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	130	3348	2.48E-05
Single-Family Detached	"WI, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3215	51033	0.000377883
10 to 19 Unit	"WI, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	932	6.88E-06
2 Unit	"WI, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	89	2021	1.49E-05
20 to 49 Unit	"WI, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	489	3.61E-06
3 or 4 Unit	"WI, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	1526	1.13E-05
5 to 9 Unit	"WI, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	102	2058	1.52E-05
50 or more Unit	"WI, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	41	1052	7.77E-06
